entity,entity_type,attribute
1000,2000,3000
1001,2001,3048
1001,2002,3065
1002,2002,3096
1002,2003,3113
1002,2004,3130
1003,2003,3144
1003,2004,3161
1003,2005,3178
1003,2006,3195
1004,2004,3192
1004,2005,3209
1004,2006,3226
1004,2007,3243
1004,2008,3260
1005,2005,3240
1006,2006,3288
1006,2007,3305
1007,2007,3336
1007,2008,3353
1007,2009,3370
1008,2008,3384
1008,2009,3401
1008,2000,3248
1008,2001,3265
1009,2009,3432
1009,2000,3279
1009,2001,3296
1009,2002,3313
1009,2003,3330
1010,2000,3310
1011,2001,3358
1011,2002,3375
1012,2002,3406
1012,2003,3423
1012,2004,3440
1013,2003,3454
1013,2004,3471
1013,2005,3488
1013,2006,3005
1014,2004,3002
1014,2005,3019
1014,2006,3036
1014,2007,3053
1014,2008,3070
1015,2005,3050
1016,2006,3098
1016,2007,3115
1017,2007,3146
1017,2008,3163
1017,2009,3180
1018,2008,3194
1018,2009,3211
1018,2000,3058
1018,2001,3075
1019,2009,3242
1019,2000,3089
1019,2001,3106
1019,2002,3123
1019,2003,3140
1020,2000,3120
1021,2001,3168
1021,2002,3185
1022,2002,3216
1022,2003,3233
1022,2004,3250
1023,2003,3264
1023,2004,3281
1023,2005,3298
1023,2006,3315
1024,2004,3312
1024,2005,3329
1024,2006,3346
1024,2007,3363
1024,2008,3380
1025,2005,3360
1026,2006,3408
1026,2007,3425
1027,2007,3456
1027,2008,3473
1027,2009,3490
1028,2008,3004
1028,2009,3021
1028,2000,3368
1028,2001,3385
1029,2009,3052
1029,2000,3399
1029,2001,3416
1029,2002,3433
1029,2003,3450
1030,2000,3430
1031,2001,3478
1031,2002,3495
1032,2002,3026
1032,2003,3043
1032,2004,3060
1033,2003,3074
1033,2004,3091
1033,2005,3108
1033,2006,3125
1034,2004,3122
1034,2005,3139
1034,2006,3156
1034,2007,3173
1034,2008,3190
1035,2005,3170
1036,2006,3218
1036,2007,3235
1037,2007,3266
1037,2008,3283
1037,2009,3300
1038,2008,3314
1038,2009,3331
1038,2000,3178
1038,2001,3195
1039,2009,3362
1039,2000,3209
1039,2001,3226
1039,2002,3243
1039,2003,3260
1040,2000,3240
1041,2001,3288
1041,2002,3305
1042,2002,3336
1042,2003,3353
1042,2004,3370
1043,2003,3384
1043,2004,3401
1043,2005,3418
1043,2006,3435
1044,2004,3432
1044,2005,3449
1044,2006,3466
1044,2007,3483
1044,2008,3000
1045,2005,3480
1046,2006,3028
1046,2007,3045
1047,2007,3076
1047,2008,3093
1047,2009,3110
1048,2008,3124
1048,2009,3141
1048,2000,3488
1048,2001,3005
1049,2009,3172
1049,2000,3019
1049,2001,3036
1049,2002,3053
1049,2003,3070
1050,2000,3050
1051,2001,3098
1051,2002,3115
1052,2002,3146
1052,2003,3163
1052,2004,3180
1053,2003,3194
1053,2004,3211
1053,2005,3228
1053,2006,3245
1054,2004,3242
1054,2005,3259
1054,2006,3276
1054,2007,3293
1054,2008,3310
1055,2005,3290
1056,2006,3338
1056,2007,3355
1057,2007,3386
1057,2008,3403
1057,2009,3420
1058,2008,3434
1058,2009,3451
1058,2000,3298
1058,2001,3315
1059,2009,3482
1059,2000,3329
1059,2001,3346
1059,2002,3363
1059,2003,3380
1060,2000,3360
1061,2001,3408
1061,2002,3425
1062,2002,3456
1062,2003,3473
1062,2004,3490
1063,2003,3004
1063,2004,3021
1063,2005,3038
1063,2006,3055
1064,2004,3052
1064,2005,3069
1064,2006,3086
1064,2007,3103
1064,2008,3120
1065,2005,3100
1066,2006,3148
1066,2007,3165
1067,2007,3196
1067,2008,3213
1067,2009,3230
1068,2008,3244
1068,2009,3261
1068,2000,3108
1068,2001,3125
1069,2009,3292
1069,2000,3139
1069,2001,3156
1069,2002,3173
1069,2003,3190
1070,2000,3170
1071,2001,3218
1071,2002,3235
1072,2002,3266
1072,2003,3283
1072,2004,3300
1073,2003,3314
1073,2004,3331
1073,2005,3348
1073,2006,3365
1074,2004,3362
1074,2005,3379
1074,2006,3396
1074,2007,3413
1074,2008,3430
1075,2005,3410
1076,2006,3458
1076,2007,3475
1077,2007,3006
1077,2008,3023
1077,2009,3040
1078,2008,3054
1078,2009,3071
1078,2000,3418
1078,2001,3435
1079,2009,3102
1079,2000,3449
1079,2001,3466
1079,2002,3483
1079,2003,3000
1080,2000,3480
1081,2001,3028
1081,2002,3045
1082,2002,3076
1082,2003,3093
1082,2004,3110
1083,2003,3124
1083,2004,3141
1083,2005,3158
1083,2006,3175
1084,2004,3172
1084,2005,3189
1084,2006,3206
1084,2007,3223
1084,2008,3240
1085,2005,3220
1086,2006,3268
1086,2007,3285
1087,2007,3316
1087,2008,3333
1087,2009,3350
1088,2008,3364
1088,2009,3381
1088,2000,3228
1088,2001,3245
1089,2009,3412
1089,2000,3259
1089,2001,3276
1089,2002,3293
1089,2003,3310
1090,2000,3290
1091,2001,3338
1091,2002,3355
1092,2002,3386
1092,2003,3403
1092,2004,3420
1093,2003,3434
1093,2004,3451
1093,2005,3468
1093,2006,3485
1094,2004,3482
1094,2005,3499
1094,2006,3016
1094,2007,3033
1094,2008,3050
1095,2005,3030
1096,2006,3078
1096,2007,3095
1097,2007,3126
1097,2008,3143
1097,2009,3160
1098,2008,3174
1098,2009,3191
1098,2000,3038
1098,2001,3055
1099,2009,3222
1099,2000,3069
1099,2001,3086
1099,2002,3103
1099,2003,3120
